gene_family,n_loci_in_cds,n_assemblies_in_cds,n_proximal_loci,n_proximal_assemblies,frac_assemblies_proximal,fisher_p_vs_background,hgt_passenger_flag,gene,product,module_bin,consensus_rank_pct_mean,used_in_any_final_set
GF_01731,118,118,4,4,0.0339,0.93218,False,,bacterioferritin,Other / unassigned,0.563101491753306,True
GF_02153,266,266,9,9,0.0338,0.96578,False,,phycobilisome linker polypeptide,Other / unassigned,0.3798210082700414,True
GF_00297,297,297,10,10,0.0337,0.97241,False,,DUF1257 domain-containing protein,Stress / membrane / uncharacterized,0.2998009234133744,True
GF_01961,119,119,4,4,0.0336,0.93213,False,rpsB,30S ribosomal protein S2,Housekeeping / lineage marker,0.9531908125303624,True
GF_01959,269,269,9,9,0.0335,0.97677,False,leuC,3-isopropylmalate dehydratase large subunit,Other / unassigned,0.543712059947829,True
GF_00825,121,120,4,4,0.0333,0.93205,False,,DUF1815 family protein,Stress / membrane / uncharacterized,0.9465703001360664,True
GF_00389,60,60,2,2,0.0333,0.89658,False,,helix-turn-helix domain-containing protein,Other / unassigned,0.2979115395730696,True
GF_01880,90,90,3,3,0.0333,0.9157,False,,NUDIX hydrolase,Other / unassigned,0.3130999676664833,True
GF_01956,60,60,2,2,0.0333,0.89658,False,,transaldolase,Carbon metabolism & NAD(P)H supply,0.3818009089470892,True
GF_02379,121,121,4,4,0.0331,0.93205,False,map,type I methionyl aminopeptidase,Housekeeping / lineage marker,0.7125374997974668,True
GF_01253,62,61,2,2,0.0328,0.89639,False,,DUF433 domain-containing protein,Stress / membrane / uncharacterized,0.7143909913001609,True
GF_01827,276,275,9,9,0.0327,0.9767,False,sufB,Fe-S cluster assembly protein SufB,Metallocluster & Fe-S biogenesis,0.733899922929395,True
GF_00902,275,275,9,9,0.0327,0.97671,False,,inorganic diphosphatase,Other / unassigned,0.7123604024053107,True
GF_01720,246,246,8,8,0.0325,0.97123,False,,LL-diaminopimelate aminotransferase,Other / unassigned,0.5611237817745495,True
GF_00634,220,216,7,7,0.0324,0.96435,False,dxr,1-deoxy-D-xylulose-5-phosphate reductoisomerase,Other / unassigned,0.3395045768582696,True
GF_01033,124,124,4,4,0.0323,0.93192,False,sufC,Fe-S cluster assembly ATPase SufC,Metallocluster & Fe-S biogenesis,0.4530358532673563,True
GF_01723,124,124,4,4,0.0323,0.93192,False,btpA,photosystem I biogenesis protein BtpA,Housekeeping / lineage marker,0.4314300060847691,True
GF_01603,93,93,3,3,0.0323,0.91552,False,,,Other / unassigned,0.7546761863941326,True
GF_00377,125,125,4,4,0.032,0.93188,False,,bifunctional nuclease family protein,Other / unassigned,0.9233236970034052,True
GF_01964,95,94,3,3,0.0319,0.91541,False,,class I fructose-bisphosphate aldolase,Carbon metabolism & NAD(P)H supply,0.8203456426835324,True
GF_00828,190,188,6,6,0.0319,0.9558,False,,HNH endonuclease,Other / unassigned,0.5886796809882353,True
GF_00400,63,63,2,2,0.0317,0.8963,False,hisIE,bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP diphosphatase HisIE,Other / unassigned,0.5741450822756268,True
GF_00874,126,126,4,4,0.0317,0.93184,False,rpsN,30S ribosomal protein S14,Housekeeping / lineage marker,0.7523727850693712,True
GF_00212,126,126,4,4,0.0317,0.93184,False,,polyribonucleotide nucleotidyltransferase,Other / unassigned,0.4703946307253581,True
GF_01821,226,222,7,7,0.0315,0.97657,False,,NDP-sugar synthase,Other / unassigned,0.6101683695980504,True
GF_00635,193,191,6,6,0.0314,0.97141,False,trxA,thioredoxin,O2 protection & redox homeostasis,0.5915745467605416,True
GF_00608,287,287,9,9,0.0314,0.98433,False,bchL,ferredoxin:protochlorophyllide reductase (ATP-dependent) iron-sulfur ATP-binding protein,Metallocluster & Fe-S biogenesis,0.6507474574171979,True
GF_01553,96,96,3,3,0.0312,0.91535,False,,NAD(P)H-quinone oxidoreductase subunit N,Other / unassigned,0.4652013877686377,True
GF_01201,65,64,2,2,0.0312,0.89612,False,,transketolase C-terminal domain-containing protein,Other / unassigned,0.6475921091947296,True
GF_01931,193,193,6,6,0.0311,0.97141,False,,30S ribosomal protein S1,Housekeeping / lineage marker,0.5778953964072419,True
GF_02206,129,129,4,4,0.031,0.93173,False,,STAS domain-containing protein,Other / unassigned,0.4220663175256162,True
GF_00593,268,258,9,8,0.031,0.96575,False,clpB,ATP-dependent chaperone ClpB,Other / unassigned,0.6225879648279272,True
GF_00861,131,131,4,4,0.0305,0.95786,False,gyrB,DNA topoisomerase (ATP-hydrolyzing) subunit B,Housekeeping / lineage marker,0.8252452174521518,True
GF_00677,165,165,5,5,0.0303,0.96512,False,,CO2 hydration protein,Other / unassigned,0.5875586348274638,True
GF_00034,165,165,5,5,0.0303,0.96512,False,,S-adenosylmethionine synthetase,Other / unassigned,0.7184340138414405,True
GF_01770,99,99,3,3,0.0303,0.91519,False,acsF,magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase,Other / unassigned,0.3866401863568045,True
GF_00120,99,99,3,3,0.0303,0.91519,False,fabG,beta-ketoacyl-ACP reductase,Other / unassigned,0.8067469663092773,True
GF_01860,134,134,4,4,0.0299,0.95777,False,,pyridoxine 5'-phosphate synthase,Other / unassigned,0.4449669228372015,True
GF_00103,202,201,6,6,0.0299,0.97127,False,lipA,lipoyl synthase,Other / unassigned,0.3964830572464006,True
GF_00896,168,168,5,5,0.0298,0.96506,False,rpsP,30S ribosomal protein S16,Housekeeping / lineage marker,0.5010265788181058,True
GF_00365,242,238,7,7,0.0294,0.98473,False,glpX,class II fructose-bisphosphatase,Other / unassigned,0.5672181945703187,True
GF_00916,204,204,6,6,0.0294,0.97124,False,clpX,ATP-dependent protease ATP-binding subunit ClpX,Other / unassigned,0.465229331440968,True
GF_02513,105,102,3,3,0.0294,0.94952,False,,CobW family GTP-binding protein,Other / unassigned,0.6713003811924151,True
GF_01333,274,274,8,8,0.0292,0.98735,False,,ferredoxin family protein,O2 protection & redox homeostasis,0.677369082559543,True
GF_00869,206,206,6,6,0.0291,0.97121,False,,peroxiredoxin,O2 protection & redox homeostasis,0.4838262153821706,True
GF_00238,138,138,4,4,0.029,0.95766,False,,hypothetical protein,Stress / membrane / uncharacterized,0.5119366514838992,True
GF_02217,173,173,5,5,0.0289,0.96496,False,,response regulator transcription factor,Regulation,0.7546538145148804,True
GF_00624,278,278,8,8,0.0288,0.98732,False,rpmG,50S ribosomal protein L33,Housekeeping / lineage marker,0.7669318357132379,True
GF_00675,105,105,3,3,0.0286,0.94952,False,rplL,50S ribosomal protein L7/L12,Housekeeping / lineage marker,0.5920362146469967,True
GF_02393,140,140,4,4,0.0286,0.9576,False,,long-chain acyl-[acyl-carrier-protein] reductase,Other / unassigned,0.5020487251003494,True
GF_01568,141,140,4,4,0.0286,0.95758,False,glgB,"1,4-alpha-glucan branching enzyme",Carbon metabolism & NAD(P)H supply,0.8235115345439455,True
GF_00133,70,70,2,2,0.0286,0.94222,False,,glyoxalase,Other / unassigned,0.1960042645287753,True
GF_01361,350,350,10,10,0.0286,0.99427,False,apcB,allophycocyanin subunit beta,Other / unassigned,0.3168249535328306,True
GF_02522,141,141,4,4,0.0284,0.95758,False,rplT,50S ribosomal protein L20,Housekeeping / lineage marker,0.7492068769981635,True
GF_02464,106,106,3,3,0.0283,0.94948,False,clpS,ATP-dependent Clp protease adapter ClpS,Other / unassigned,0.6983007887705417,True
GF_00196,247,247,7,7,0.0283,0.98469,False,bchB,ferredoxin:protochlorophyllide reductase (ATP-dependent) subunit B,O2 protection & redox homeostasis,0.3345213522420467,True
GF_00676,142,142,4,4,0.0282,0.95755,False,,Rrf2 family transcriptional regulator,Regulation,0.4529473728489693,True
GF_01502,285,285,8,8,0.0281,0.99177,False,menB,"1,4-dihydroxy-2-naphthoyl-CoA synthase",Other / unassigned,0.3399575647923245,True
GF_01160,147,146,4,4,0.0274,0.9742,False,,phycocyanin subunit beta,Other / unassigned,0.5106341979975565,True
GF_01232,256,256,7,7,0.0273,0.99018,False,moeB,molybdopterin-synthase adenylyltransferase MoeB,Other / unassigned,0.7085901312389672,True
GF_01158,258,258,7,7,0.0271,0.99017,False,,"Coenzyme F420 hydrogenase/dehydrogenase, beta subunit C-terminal domain",Other / unassigned,0.3159426429455098,True
GF_00284,583,295,16,8,0.0271,0.99942,False,ccmK1,Carbon dioxide-concentrating mechanism protein CcmK homolog 1,Other / unassigned,0.3073227527618988,True
GF_01787,295,295,8,8,0.0271,0.99173,False,,alpha-ketoacid dehydrogenase subunit beta,Other / unassigned,0.4973605892002724,True
GF_01659,82,74,3,2,0.027,0.8616,False,,phycocyanin subunit beta,Other / unassigned,0.4739939353886124,True
GF_00213,120,111,3,3,0.027,0.97029,False,psbA,photosystem II q(b) protein,Housekeeping / lineage marker,0.5632110592807121,True
GF_00457,113,113,3,3,0.0265,0.94922,False,purE,5-(carboxyamino)imidazole ribonucleotide mutase,Other / unassigned,0.6644632279202497,True
GF_00643,227,227,6,6,0.0264,0.98837,False,rplK,50S ribosomal protein L11,Housekeeping / lineage marker,0.4235188241098908,True
GF_01819,229,229,6,6,0.0262,0.98836,False,ureC,urease subunit alpha,Other / unassigned,0.5989429531497352,True
GF_00673,153,153,4,4,0.0261,0.97409,False,fabF,beta-ketoacyl-ACP synthase II,Other / unassigned,0.5096432174332537,True
GF_01011,116,116,3,3,0.0259,0.9704,False,,sulfate/molybdate ABC transporter ATP-binding protein,Transport,0.4352143688097127,True
GF_00604,116,116,3,3,0.0259,0.9704,False,hemE,uroporphyrinogen decarboxylase,Other / unassigned,0.7262740057612969,True
GF_01635,91,78,2,2,0.0256,0.96784,False,,ABC transporter permease,Transport,0.7888120187366836,True
GF_00071,158,158,4,4,0.0253,0.974,False,,S-methyl-5'-thioadenosine phosphorylase,Other / unassigned,0.3534183615654964,True
GF_00139,79,79,2,2,0.0253,0.94168,False,ycf54,hypothetical protein,Stress / membrane / uncharacterized,0.3371047090308212,True
GF_00137,119,119,3,3,0.0252,0.97032,False,atpG,ATP synthase gamma chain,Housekeeping / lineage marker,0.614634764275817,True
GF_00981,278,278,7,7,0.0252,0.99373,False,,glutamine-hydrolyzing GMP synthase,Other / unassigned,0.2884785478108329,True
GF_01654,283,279,7,7,0.0251,0.99371,False,ispG,(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase,Other / unassigned,0.2793264743120555,True
GF_01500,120,120,3,3,0.025,0.97029,False,,Ycf34 family protein,Other / unassigned,0.9326824317743044,True
GF_01234,41,40,1,1,0.025,0.9421,False,cobA,uroporphyrinogen-III C-methyltransferase,Other / unassigned,0.5256571576299445,True
GF_00334,40,40,1,1,0.025,0.94222,False,,NAD-dependent epimerase/dehydratase family protein,Other / unassigned,0.596082734357905,True
GF_00402,241,241,6,6,0.0249,0.99273,False,,peroxiredoxin,O2 protection & redox homeostasis,0.90213911216583,True
GF_01501,458,441,11,11,0.0249,0.99943,False,groL,chaperonin GroEL,Other / unassigned,0.2464716553152618,True
GF_01000,202,201,5,5,0.0249,0.98635,False,,UbiD family decarboxylase,Other / unassigned,0.3715824554806513,True
GF_01722,161,161,4,4,0.0248,0.97395,False,hisF,imidazole glycerol phosphate synthase subunit HisF,Other / unassigned,0.5007909944713154,True
GF_02459,82,81,2,2,0.0247,0.94153,False,,DUF433 domain-containing protein,Stress / membrane / uncharacterized,0.7613455934980631,True
GF_00682,81,81,2,2,0.0247,0.94158,False,sppA,signal peptide peptidase SppA,Stress / membrane / uncharacterized,0.4016286550518866,True
GF_01462,446,446,11,11,0.0247,0.99912,False,petB,cytochrome b6,Respiration & bioenergetics,0.10506716278929,True
GF_01712,43,41,1,1,0.0244,0.94189,False,,P-II family nitrogen regulator,Regulation,0.5403233353384241,True
GF_00265,123,123,3,3,0.0244,0.97022,False,,CoB--CoM heterodisulfide reductase iron-sulfur subunit B family protein,Metallocluster & Fe-S biogenesis,0.4575905819739471,True
GF_01935,41,41,1,1,0.0244,0.9421,False,cydB,cytochrome d ubiquinol oxidase subunit II,Respiration & bioenergetics,0.2265901017298133,True
GF_00211,42,42,1,1,0.0238,0.94199,False,,phasin family protein,Other / unassigned,0.4305131959789063,True
GF_02411,127,127,3,3,0.0236,0.97013,False,,ATP-dependent Clp protease proteolytic subunit,Other / unassigned,0.5048757679424635,True
GF_00182,43,43,1,1,0.0233,0.94189,False,hetR,heterocyst differentiation master regulator HetR,Regulation,0.4559888602834986,True
GF_00178,217,216,5,5,0.0231,0.99164,False,rpoD,RNA polymerase sigma factor RpoD,Housekeeping / lineage marker,0.6128932828685254,True
GF_00296,87,87,2,2,0.023,0.96798,False,rpsU,30S ribosomal protein S21,Housekeeping / lineage marker,0.2248285878674052,True
GF_00667,87,87,2,2,0.023,0.96798,False,,TIGR02652 family protein,Other / unassigned,0.592173723706371,True
GF_01743,196,175,4,4,0.0229,0.99453,False,gmd,"GDP-mannose 4,6-dehydratase",Other / unassigned,0.3885262253443815,True
GF_01182,277,263,6,6,0.0228,0.99723,False,,NAD(P)H-quinone oxidoreductase subunit H,Other / unassigned,0.4402105081749806,True
GF_00332,219,219,5,5,0.0228,0.99163,False,,NADP-dependent isocitrate dehydrogenase,Other / unassigned,0.368285379059649,True
GF_00881,54,44,1,1,0.0227,0.97163,False,,nif11-class peptide radical SAM maturase 3,Nitrogenase / nif machinery,0.5048412501026874,True
GF_00395,88,88,2,2,0.0227,0.96794,False,hpnH,adenosyl-hopene transferase HpnH,Other / unassigned,0.3742839879039474,True
GF_02485,88,88,2,2,0.0227,0.96794,False,,precorrin-8X methylmutase,Other / unassigned,0.4633820639600799,True
GF_01637,44,44,1,1,0.0227,0.94178,False,pstB,phosphate ABC transporter ATP-binding protein PstB,Transport,0.1794053483335446,True
GF_01510,224,223,5,5,0.0224,0.99497,False,,HU family DNA-binding protein,Other / unassigned,0.6872310904457708,True
GF_01276,45,45,1,1,0.0222,0.94169,False,pstA,phosphate ABC transporter permease PstA,Transport,0.2546830364094083,True
GF_00398,45,45,1,1,0.0222,0.94169,False,,NAD(P) transhydrogenase subunit alpha,Other / unassigned,0.6141411122692193,True
GF_00903,45,45,1,1,0.0222,0.94169,False,pstC,phosphate ABC transporter permease subunit PstC,Transport,0.1512602877261736,True
GF_02107,272,272,6,6,0.0221,0.99724,False,,glycoside hydrolase family 57 protein,Other / unassigned,0.6735301631376274,True
GF_00638,273,273,6,6,0.022,0.99724,False,ftsH2,ATP-dependent zinc metalloprotease FtsH2,Housekeeping / lineage marker,0.8295730107390211,True
GF_01699,92,92,2,2,0.0217,0.96781,False,ureG,urease accessory protein UreG,Other / unassigned,0.6594583880187339,True
GF_01667,93,92,2,2,0.0217,0.96777,False,,manganese catalase family protein,O2 protection & redox homeostasis,0.629356664398159,True
GF_00147,232,232,5,5,0.0216,0.99494,False,guaB,inositol-5-monophosphate dehydrogenase,Other / unassigned,0.435287624771375,True
GF_01963,187,186,4,4,0.0215,0.99067,False,sat,sulfate adenylyltransferase,Other / unassigned,0.4234909817978974,True
GF_01673,94,94,2,2,0.0213,0.96774,False,,methionine gamma-lyase family protein,Other / unassigned,0.3391179771637405,True
GF_01660,47,47,1,1,0.0213,0.94151,False,galT,galactose-1-phosphate uridylyltransferase,Other / unassigned,0.6434156147944461,True
GF_01605,47,47,1,1,0.0213,0.94151,False,rfbB,"dTDP-glucose 4,6-dehydratase",Other / unassigned,0.3356047565520089,True
GF_02435,47,47,1,1,0.0213,0.94151,False,,TIGR02652 family protein,Other / unassigned,0.4361739675280428,True
GF_02020,94,94,2,2,0.0213,0.96774,False,,sodium-dependent bicarbonate transport family permease,Transport,0.6184615204914985,True
GF_02387,288,288,6,6,0.0208,0.99833,False,,NYN domain-containing protein,Other / unassigned,0.4274656205550454,True
GF_01658,48,48,1,1,0.0208,0.94143,False,,DUF433 domain-containing protein,Stress / membrane / uncharacterized,0.7160659602664561,True
GF_01032,193,193,4,4,0.0207,0.99455,False,rplA,50S ribosomal protein L1,Housekeeping / lineage marker,0.4418481818897604,True
GF_00435,145,145,3,3,0.0207,0.98263,False,,zinc-dependent dehydrogenase,Other / unassigned,0.6051747285085666,True
GF_02396,97,97,2,2,0.0206,0.96765,False,ppsA,phosphoenolpyruvate synthase,Housekeeping / lineage marker,0.5645724879399865,True
GF_00893,97,97,2,2,0.0206,0.96765,False,,peptide-methionine (S)-S-oxide reductase MsrA,Other / unassigned,0.5899336682449615,True
GF_00872,99,99,2,2,0.0202,0.9676,False,,TldD/PmbA family protein,Other / unassigned,0.6187909523828953,True
GF_00679,99,99,2,2,0.0202,0.9676,False,psbX,photosystem II reaction center X protein,Housekeeping / lineage marker,0.2809239709911828,True
GF_00591,50,50,1,1,0.02,0.94127,False,,sulfite oxidase-like oxidoreductase,Respiration & bioenergetics,0.3985395827905686,True
GF_01767,101,101,2,2,0.0198,0.98253,False,glcD,glycolate oxidase subunit GlcD,Respiration & bioenergetics,0.4057837045739507,True
GF_01001,101,101,2,2,0.0198,0.98253,False,petC,cytochrome b6-f complex iron-sulfur subunit,Metallocluster & Fe-S biogenesis,0.3483524107995772,True
GF_00173,153,153,3,3,0.0196,0.99011,False,argH,argininosuccinate lyase,Other / unassigned,0.3672692409755921,True
GF_01918,153,153,3,3,0.0196,0.99011,False,,phosphoribulokinase,Other / unassigned,0.3582405374529525,True
GF_00672,259,259,5,5,0.0193,0.9982,False,rpmA,50S ribosomal protein L27,Housekeeping / lineage marker,0.54329538242026,True
GF_01496,156,156,3,3,0.0192,0.99008,False,grxD,Grx4 family monothiol glutaredoxin,O2 protection & redox homeostasis,0.4399196896639519,True
GF_00974,104,104,2,2,0.0192,0.98247,False,,dihydroorotase,Other / unassigned,0.6443329354803033,True
GF_00393,53,53,1,1,0.0189,0.94105,False,rpmB,50S ribosomal protein L28,Housekeeping / lineage marker,0.778490197081501,True
GF_00382,159,159,3,3,0.0189,0.99006,False,,flavin prenyltransferase UbiX,Other / unassigned,0.4627683591204564,True
GF_00708,161,160,3,3,0.0187,0.99004,False,,adenylosuccinate synthase,Other / unassigned,0.3406427727907246,True
GF_00792,214,214,4,4,0.0187,0.99681,False,rpsS,30S ribosomal protein S19,Housekeeping / lineage marker,0.561429381977735,True
GF_01801,54,54,1,1,0.0185,0.97163,False,arsJ,organoarsenical effux MFS transporter ArsJ,Transport,0.4557663755195817,True
GF_00800,54,54,1,1,0.0185,0.97163,False,hemB,porphobilinogen synthase,Other / unassigned,0.2590026685837096,True
GF_01555,378,378,7,7,0.0185,0.9998,False,kaiB,circadian clock protein KaiB,Other / unassigned,0.410124178507831,True
GF_00612,163,163,3,3,0.0184,0.99442,False,pyk,pyruvate kinase,Other / unassigned,0.3145262496968631,True
GF_00614,221,219,4,4,0.0183,0.99679,False,aroF,3-deoxy-7-phosphoheptulonate synthase,Other / unassigned,0.5980469158310924,True
GF_01143,56,55,1,1,0.0182,0.97153,False,,cation:proton antiporter,Other / unassigned,0.3601507230184287,True
GF_01532,56,55,1,1,0.0182,0.97153,False,cynS,cyanase,Other / unassigned,0.3140043493422481,True
GF_00982,276,276,5,5,0.0181,0.99894,False,kaiC,circadian clock protein KaiC,Other / unassigned,0.628812220208629,True
GF_01223,111,111,2,2,0.018,0.98235,False,,mannose-1-phosphate guanyltransferase,Other / unassigned,0.5300912329995306,True
GF_00490,56,56,1,1,0.0179,0.97153,False,,hypothetical protein,Stress / membrane / uncharacterized,0.4601935274432165,True
GF_01789,56,56,1,1,0.0179,0.97153,False,tatC,twin-arginine translocase subunit TatC,Other / unassigned,0.2305768968113087,True
GF_00618,56,56,1,1,0.0179,0.97153,False,,"RNA polymerase sigma factor, RpoD/SigA family",Housekeeping / lineage marker,0.5879922185847066,True
GF_00984,284,284,5,5,0.0176,0.99893,False,,ATP-dependent zinc metalloprotease FtsH3,Housekeeping / lineage marker,0.2650352893221872,True
GF_01741,114,114,2,2,0.0175,0.9823,False,,argininosuccinate synthase,Other / unassigned,0.2596831448106872,True
GF_00687,285,285,5,5,0.0175,0.99938,False,lepA,translation elongation factor 4,Other / unassigned,0.3460063050437112,True
GF_02516,58,58,1,1,0.0172,0.97143,False,folE,GTP cyclohydrolase I FolE,Other / unassigned,0.4161490725016024,True
GF_01237,174,174,3,3,0.0172,0.99437,False,,NYN domain-containing protein,Other / unassigned,0.4903217864720145,True
GF_00000,118,118,2,2,0.0169,0.99053,False,ureG,urease accessory protein G,Other / unassigned,0.7158247708694416,True
GF_00175,59,59,1,1,0.0169,0.97139,False,,LuxR C-terminal-related transcriptional regulator,Regulation,0.4276743281927474,True
GF_02179,118,118,2,2,0.0169,0.99053,False,atpB,F0F1 ATP synthase subunit A,Housekeeping / lineage marker,0.3027406787672657,True
GF_01761,60,60,1,1,0.0167,0.97134,False,,peroxiredoxin,O2 protection & redox homeostasis,0.4042993431708273,True
GF_02166,120,120,2,2,0.0167,0.99051,False,,succinate dehydrogenase/fumarate reductase flavoprotein subunit,Respiration & bioenergetics,0.9772998553920677,True
GF_01898,121,121,2,2,0.0165,0.9905,False,hpnH,adenosyl-hopene transferase HpnH,Other / unassigned,0.3842647195066817,True
GF_00666,121,121,2,2,0.0165,0.9905,False,,LON peptidase substrate-binding domain-containing protein,Transport,0.6549987699764848,True
GF_01742,121,121,2,2,0.0165,0.9905,False,,NYN domain-containing protein,Other / unassigned,0.4779009354486512,True
GF_00788,366,366,6,6,0.0164,0.99988,False,,NifU family protein,Nitrogenase / nif machinery,0.2328602258692653,True
GF_01674,123,123,2,2,0.0163,0.99048,False,,small RNA NsiR4-regulated ssr1528 family protein,Other / unassigned,0.6301725039372212,True
GF_01277,128,126,2,2,0.0159,0.99044,False,arsH,arsenical resistance protein ArsH,Other / unassigned,0.591449014544358,True
GF_02389,193,193,3,3,0.0155,0.99826,False,petN,cytochrome b6-f complex subunit PetN,Respiration & bioenergetics,0.5111209296294545,True
GF_01822,65,65,1,1,0.0154,0.97114,False,fabI,enoyl-ACP reductase FabI,Other / unassigned,0.4966094264684187,True
GF_00900,68,66,1,1,0.0152,0.97104,False,,ArsJ-associated glyceraldehyde-3-phosphate dehydrogenase,Other / unassigned,0.8379914476690711,True
GF_01906,199,199,3,3,0.0151,0.99825,False,atpD,F0F1 ATP synthase subunit beta,Housekeeping / lineage marker,0.880654027944093,True
GF_02397,139,135,2,2,0.0148,0.99489,False,,Fur family transcriptional regulator,Regulation,0.3972494768676391,True
GF_01662,69,69,1,1,0.0145,0.97101,False,,protochlorophyllide reductase,Other / unassigned,0.4686057273348132,True
GF_01245,139,139,2,2,0.0144,0.99489,False,rplB,50S ribosomal protein L2,Housekeeping / lineage marker,0.8952870243591162,True
GF_00985,277,277,4,4,0.0144,0.99966,False,fba,fructose-bisphosphate aldolase class II,Carbon metabolism & NAD(P)H supply,0.2960697152544678,True
GF_00187,142,141,2,2,0.0142,0.99488,False,,30S ribosomal protein PSRP-3,Housekeeping / lineage marker,0.3158676193757884,True
GF_00225,143,143,2,2,0.014,0.99487,False,,NAD(P)H-quinone oxidoreductase subunit 3,Other / unassigned,0.4529639580243971,True
GF_01499,72,72,1,1,0.0139,0.98598,False,,TldD/PmbA family protein,Other / unassigned,0.6540263489031436,True
GF_02514,95,72,1,1,0.0139,0.99303,False,,ferredoxin,O2 protection & redox homeostasis,0.8803017401732742,True
GF_00123,146,145,2,2,0.0138,0.9973,False,accC,acetyl-CoA carboxylase biotin carboxylase subunit,Other / unassigned,0.6440087546155921,True
GF_00746,219,219,3,3,0.0137,0.99903,False,petD,cytochrome b6-f complex subunit IV,Respiration & bioenergetics,0.7808928233658263,True
GF_02145,73,73,1,1,0.0137,0.98596,False,rpsE,30S ribosomal protein S5,Housekeeping / lineage marker,0.6269919783779088,True
GF_00856,221,221,3,3,0.0136,0.99903,False,,ferredoxin:protochlorophyllide reductase (ATP-dependent) subunit N,O2 protection & redox homeostasis,0.7561857559221189,True
GF_01759,149,148,2,2,0.0135,0.99729,False,ispF,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",Other / unassigned,0.5318841995809348,True
GF_01190,79,74,1,1,0.0135,0.98584,False,,DevA family ABC transporter ATP-binding protein,Transport,0.2120225006699747,True
GF_01006,297,297,4,4,0.0135,0.99981,False,,P-II family nitrogen regulator,Regulation,0.2719888692464303,True
GF_00207,450,448,6,6,0.0134,0.99999,False,,response regulator transcription factor,Regulation,0.0439885416697772,True
GF_01221,227,226,3,3,0.0133,0.99947,False,acs,acetate--CoA ligase,Other / unassigned,0.453183774989355,True
GF_00630,305,305,4,4,0.0131,0.99989,False,tuf,elongation factor Tu,Other / unassigned,0.6560288547914003,True
GF_02466,77,77,1,1,0.013,0.98588,False,,histone deacetylase family protein,Other / unassigned,0.3175860746836348,True
GF_01785,89,80,1,1,0.0125,0.99309,False,kdpB,potassium-transporting ATPase subunit KdpB,Transport,0.6246300387415831,True
GF_01596,333,326,5,4,0.0123,0.99988,False,,ferredoxin,O2 protection & redox homeostasis,0.6025809474363151,True
GF_01672,81,81,1,1,0.0123,0.9858,False,fabI,enoyl-ACP reductase FabI,Other / unassigned,0.7878426427156217,True
GF_01184,82,82,1,1,0.0122,0.98579,False,pgsA,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,Other / unassigned,0.2417414860926709,True
GF_00366,82,82,1,1,0.0122,0.98579,False,rpmH,50S ribosomal protein L34,Housekeeping / lineage marker,0.2178470572242923,True
GF_00658,248,248,3,3,0.0121,0.99971,False,rplV,50S ribosomal protein L22,Housekeeping / lineage marker,0.7225591879028628,True
GF_00386,83,83,1,1,0.012,0.98577,False,urtD,urea ABC transporter ATP-binding protein UrtD,Transport,0.4795194649783337,True
GF_02152,83,83,1,1,0.012,0.98577,False,,phosphoglucomutase/phosphomannomutase family protein,Other / unassigned,0.4118927859363878,True
GF_00992,252,252,3,3,0.0119,0.99971,False,psbF,cytochrome b559 subunit beta,Housekeeping / lineage marker,0.6243214547130054,True
GF_01122,254,254,3,3,0.0118,0.99984,False,,2-isopropylmalate synthase,Other / unassigned,0.3903267469756787,True
GF_02494,85,85,1,1,0.0118,0.99313,False,,cysteine desulfurase,Regulation,0.2928784387669682,True
GF_00368,257,257,3,3,0.0117,0.99984,False,ntcA,global nitrogen regulator NtcA,Regulation,0.645062318310731,True
GF_00661,175,175,2,2,0.0114,0.99855,False,,DUF1825 family protein,Stress / membrane / uncharacterized,0.6472318858144263,True
GF_00748,88,88,1,1,0.0114,0.9931,False,zds,"9,9'-di-cis-zeta-carotene desaturase",Other / unassigned,0.2411014555283632,True
GF_02181,442,442,5,5,0.0113,1.0,False,rpsJ,30S ribosomal protein S10,Housekeeping / lineage marker,0.0420328226545005,True
GF_00150,177,177,2,2,0.0113,0.99925,False,ndhD1,NADH dehydrogenase subunit 4,Respiration & bioenergetics,0.3693344558919704,True
GF_01156,90,90,1,1,0.0111,0.99308,False,ndhD1,photosynthetic/respiratory NAD(P)H-quinone oxidoreductase subunit D1,Respiration & bioenergetics,0.480457964376456,True
GF_02135,94,94,1,1,0.0106,0.99304,False,hypB,hydrogenase nickel incorporation protein HypB,Other / unassigned,0.6417052818124849,True
GF_02371,189,189,2,2,0.0106,0.99924,False,fusA,elongation factor G,Other / unassigned,0.4283408158356915,True
GF_00808,188,188,2,2,0.0106,0.99924,False,remA,extracellular matrix/biofilm regulator RemA,Regulation,0.7043825968196478,True
GF_01758,188,188,2,2,0.0106,0.99924,False,atpE,ATP synthase F0 subunit C,Housekeeping / lineage marker,0.4162707962671335,True
GF_01020,284,284,3,3,0.0106,0.99991,False,,50S ribosomal protein L16,Housekeeping / lineage marker,0.1883997645405877,True
GF_00659,95,95,1,1,0.0105,0.99303,False,,YifB family Mg chelatase-like AAA ATPase,Other / unassigned,0.2444207885776344,True
