gene_family,study_id,paper_short,organism,n_unique_source_proteins,source_protein_keys,mapped_wp_accessions,representative_protein_names,evidence_metric_examples,mapping_methods,candidate_set,product,module_bin,fox_status,best_rank,consensus_rank_pct_mean,diazotroph_pct_mean,n_member_genomes,n_member_proteins,nif_or_nitrogenase_audit
GF_00353,Held_2022_Trichodesmium_IMS101,Held et al. 2022,Trichodesmium erythraeum IMS101,1,Tery_2996,WP_011612506.1,Tery_2996 rpsE SSU ribosomal protein S5P [Trichodesmium erythraeum IMS101: NC_008312],mean_relative_abundance=57.11; max=91.99@12h; min=45.58@13h; dynamic_range=46.42,old_locus_tag,Model-Supported,30S ribosomal protein S5,Housekeeping / lineage marker,Housekeeping marker (not a transplant candidate),256.0,0.3281499202551834,0.4705882352941176,221,221,False
GF_00353,Panda_2025_Crocosphaera_ATCC51142,Panda et al. 2025,Crocosphaera subtropica ATCC 51142,1,cce_4031,WP_009543881.1,30S ribosomal protein S5,Two-way ANOVA p value nitrate=5.82706372438681e-06; Two-way ANOVA p value lightordark=0.0169996616369172; Two-way ANOVA p value Interaction=0.0226677391331197; D-_avgLFQ=29.5991687774658; D+_avgLFQ=30.1451597213745; L-_avgLFQ=29.615993976593; L+_avgLFQ=30.7270946502686; D-_D+(logFC)=-0.5459909439087021; L-_L+(logFC)=-1.111100673675601,old_locus_tag,Model-Supported,30S ribosomal protein S5,Housekeeping / lineage marker,Housekeeping marker (not a transplant candidate),256.0,0.3281499202551834,0.4705882352941176,221,221,False
GF_00353,Welkie_2014_Cyanothece_PCC7822,Welkie et al. 2014,Gloeothece verrucosa PCC 7822,1,Cyan7822_5048,WP_013324973.1,ref|YP_003890210.1| 30S ribosomal protein S5 [Cyanothece sp. PCC 7822],CT_D0=1.02502708053267; CT_D3=1.043176305; CT_L0=1.13251975660526; CT_L3=1.91887238641561,old_locus_tag,Model-Supported,30S ribosomal protein S5,Housekeeping / lineage marker,Housekeeping marker (not a transplant candidate),256.0,0.3281499202551834,0.4705882352941176,221,221,False
GF_00360,Held_2022_Trichodesmium_IMS101,Held et al. 2022,Trichodesmium erythraeum IMS101,1,Tery_1519,WP_011611179.1,Tery_1519 ppa Inorganic diphosphatase [Trichodesmium erythraeum IMS101: NC_008312],mean_relative_abundance=19.12; max=25.7@4h; min=14.58@11h; dynamic_range=11.12,old_locus_tag,Model-Supported,inorganic diphosphatase,Other / unassigned,Novel/uncertain candidate,362.0,0.2986443381180223,0.4304347826086956,230,230,False
GF_00360,Panda_2025_Crocosphaera_ATCC51142,Panda et al. 2025,Crocosphaera subtropica ATCC 51142,1,cce_4329,WP_009543609.1,Inorganic pyrophosphatase,Two-way ANOVA p value nitrate=0.00059802035036035; Two-way ANOVA p value lightordark=0.19557974612999; Two-way ANOVA p value Interaction=0.299823928497155; D-_avgLFQ=27.9583802223206; D+_avgLFQ=27.2148942947388; L-_avgLFQ=28.475480556488; L+_avgLFQ=27.2753672599792; D-_D+(logFC)=0.7434859275817978; L-_L+(logFC)=1.2001132965088033,old_locus_tag,Model-Supported,inorganic diphosphatase,Other / unassigned,Novel/uncertain candidate,362.0,0.2986443381180223,0.4304347826086956,230,230,False
GF_00360,Sandh_2014_Nostoc_punctiforme,Sandh et al. 2014,Nostoc punctiforme PCC 73102,2,Npun_F2553,WP_012409101.1,Ppa; Inorganic diphosphatase.,Log2 Ratio (Heterocyst/Filaments)=-2.728981874901513; Variability [%]=38.383849306375; Peptide Pair Count=4;4 | Log2 Ratio (Heterocyst/Filaments)=-2.728981874901513; Variability [%]=38.383849306375; Peptide Pair Count=4;4,old_locus_tag,Model-Supported,inorganic diphosphatase,Other / unassigned,Novel/uncertain candidate,362.0,0.2986443381180223,0.4304347826086956,230,230,False
GF_00361,Sandh_2014_Nostoc_punctiforme,Sandh et al. 2014,Nostoc punctiforme PCC 73102,1,Npun_F4277,WP_012410619.1,pvtK; Pyruvate kinase,Log2 Ratio (Heterocyst/Filaments)=-0.16516498896573228; Variability [%]=33.8325322101391; Peptide Pair Count=2;2,old_locus_tag,Highly Pure,pyruvate kinase,Other / unassigned,Novel/uncertain candidate,,,0.9315068493150684,73,73,False
GF_00362,Held_2022_Trichodesmium_IMS101,Held et al. 2022,Trichodesmium erythraeum IMS101,1,Tery_0543,WP_011610387.1,Tery_0543 clpB ATPase AAA-2 [Trichodesmium erythraeum IMS101: NC_008312],mean_relative_abundance=29.09; max=39.12@14h; min=17.7@1h; dynamic_range=21.42,old_locus_tag,Model-Supported,ATP-dependent chaperone ClpB,Other / unassigned,Novel/uncertain candidate,51.0,0.5689792663476874,0.5723270440251572,159,159,False
GF_00362,Sandh_2014_Nostoc_punctiforme,Sandh et al. 2014,Nostoc punctiforme PCC 73102,3,Npun_F2993;Npun_F4427,WP_012409500.1;WP_012410756.1,"ClpA; AAA ATPase; central region:Clp; N | clpB/A AAA ATPase, central region:Clp, N terminal - cytoplasm, P",Log2 Ratio (Heterocyst/Filaments)=0.4255480128033678; Variability [%]=10.7356804559653; Peptide Pair Count=5;2 | Log2 Ratio (Heterocyst/Filaments)=0.41138266930257505; Variability [%]=12.2370183770341; Peptide Pair Count=5;1 | Log2 Ratio (Heterocyst/Filaments)=0.41138266930257505; Variability [%]=12.2370183770341; Peptide Pair Count=5;1,old_locus_tag,Model-Supported,ATP-dependent chaperone ClpB,Other / unassigned,Novel/uncertain candidate,51.0,0.5689792663476874,0.5723270440251572,159,159,False
GF_00363,Held_2022_Trichodesmium_IMS101,Held et al. 2022,Trichodesmium erythraeum IMS101,1,Tery_0474,WP_011610325.1,Tery_0474 rpsG SSU ribosomal protein S7P [Trichodesmium erythraeum IMS101: NC_008312],mean_relative_abundance=49.15; max=74.14@6h; min=33.77@18h; dynamic_range=40.37,old_locus_tag,Model-Supported,30S ribosomal protein S7,Housekeeping / lineage marker,Housekeeping marker (not a transplant candidate),28.0,0.8253588516746412,0.7864077669902912,103,103,False
GF_00376,Sandh_2014_Nostoc_punctiforme,Sandh et al. 2014,Nostoc punctiforme PCC 73102,1,Npun_F0949,WP_012407702.1,secA; SecA protein,Log2 Ratio (Heterocyst/Filaments)=-0.39209751485213346; Variability [%]=4.22331515551009; Peptide Pair Count=1;1,old_locus_tag,Highly Pure,preprotein translocase subunit SecA,Other / unassigned,Novel/uncertain candidate,,,0.958904109589041,73,73,False
GF_00378,Held_2022_Trichodesmium_IMS101,Held et al. 2022,Trichodesmium erythraeum IMS101,1,Tery_2984,WP_011612495.1,Tery_2984 rpsI SSU ribosomal protein S9P [Trichodesmium erythraeum IMS101: NC_008312],mean_relative_abundance=40.45; max=67.2@23h; min=17.48@4h; dynamic_range=49.72,old_locus_tag,Highly Pure,30S ribosomal protein S9,Housekeeping / lineage marker,Housekeeping marker (not a transplant candidate),,,0.9078947368421052,76,76,False
GF_00378,Sandh_2014_Nostoc_punctiforme,Sandh et al. 2014,Nostoc punctiforme PCC 73102,2,Npun_R4362,WP_012410698.1,RpsI; Ribosomal protein S9,Log2 Ratio (Heterocyst/Filaments)=0.8271167882053524; Variability [%]=0.215387358232854; Peptide Pair Count=7;9 | Log2 Ratio (Heterocyst/Filaments)=0.8271167882053524; Variability [%]=0.215387358232854; Peptide Pair Count=7;9,old_locus_tag,Highly Pure,30S ribosomal protein S9,Housekeeping / lineage marker,Housekeeping marker (not a transplant candidate),,,0.9078947368421052,76,76,False
GF_00379,Sandh_2014_Nostoc_punctiforme,Sandh et al. 2014,Nostoc punctiforme PCC 73102,1,Npun_R4390,WP_012410725.1,RplC; Ribosomal protein L3,Log2 Ratio (Heterocyst/Filaments)=0.6488614088340884; Variability [%]=8.37014651067089; Peptide Pair Count=3;1,old_locus_tag,Highly Pure,50S ribosomal protein L3,Housekeeping / lineage marker,Housekeeping marker (not a transplant candidate),,,0.9577464788732394,71,71,False
GF_00384,Held_2022_Trichodesmium_IMS101,Held et al. 2022,Trichodesmium erythraeum IMS101,1,Tery_2568,WP_011612129.1,Tery_2568 protein of unknown function DUF151 [Trichodesmium erythraeum IMS101: NC_008312],mean_relative_abundance=2.438; max=4.468@13h; min=0@9h; dynamic_range=4.468,old_locus_tag,Model-Supported,bifunctional nuclease family protein,Other / unassigned,Novel/uncertain candidate,319.0,0.2854864433811802,0.7717391304347826,92,92,False
GF_00386,Held_2022_Trichodesmium_IMS101,Held et al. 2022,Trichodesmium erythraeum IMS101,1,Tery_2999,WP_011612509.1,Tery_2999 rpsH SSU ribosomal protein S8P [Trichodesmium erythraeum IMS101: NC_008312],mean_relative_abundance=18.53; max=33.58@12h; min=13.27@1h; dynamic_range=20.31,old_locus_tag,Model-Supported,30S ribosomal protein S8,Housekeeping / lineage marker,Housekeeping marker (not a transplant candidate),127.0,0.4130781499202551,0.5763888888888888,144,144,False
GF_00387,Held_2022_Trichodesmium_IMS101,Held et al. 2022,Trichodesmium erythraeum IMS101,1,Tery_4765,WP_011614034.1,"Tery_4765 Mg chelatase, subunit ChlI [Trichodesmium erythraeum IMS101: NC_008312]",mean_relative_abundance=1.991; max=3.715@20h; min=0@12h; dynamic_range=3.715,old_locus_tag,Model-Supported,YifB family Mg chelatase-like AAA ATPase,Other / unassigned,Novel/uncertain candidate,118.0,0.5151515151515151,0.8076923076923077,78,78,False
GF_00390,Sandh_2014_Nostoc_punctiforme,Sandh et al. 2014,Nostoc punctiforme PCC 73102,2,Npun_R4379,WP_012410714.1,rplX; Ribosomal protein L24,Log2 Ratio (Heterocyst/Filaments)=0.3190219281376239; Variability [%]=15.8144041803942; Peptide Pair Count=7;7 | 24h Log2 Ratio (Het/Fil) (Present study)=0.3190219281376239; Variability [%]=15.8144041803942; Peptide Pair Count=7;7; Steady state Log2 ratio [7]=0.9356195097176461,old_locus_tag,Model-Supported,50S ribosomal protein L24,Housekeeping / lineage marker,Housekeeping marker (not a transplant candidate),46.0,0.3779904306220095,0.8488372093023255,86,86,False
GF_00390,Welkie_2014_Cyanothece_PCC7822,Welkie et al. 2014,Gloeothece verrucosa PCC 7822,1,Cyan7822_5053,WP_013324978.1,ref|YP_003890215.1| 50S ribosomal protein L24 [Cyanothece sp. PCC 7822],CT_D0=1.09717795653267; CT_D3=1.105898878; CT_L0=1.39106557860526; CT_L3=1.52545311441561,old_locus_tag,Model-Supported,50S ribosomal protein L24,Housekeeping / lineage marker,Housekeeping marker (not a transplant candidate),46.0,0.3779904306220095,0.8488372093023255,86,86,False
GF_00391,Welkie_2014_Cyanothece_PCC7822,Welkie et al. 2014,Gloeothece verrucosa PCC 7822,1,Cyan7822_5058,WP_013324983.1,ref|YP_003890220.1| 30S ribosomal protein S3 [Cyanothece sp. PCC 7822],CT_D0=1.14969223853267; CT_D3=1.117332587; CT_L0=1.34431741160526; CT_L3=1.50825329141561,old_locus_tag,,,,,,,,,,
GF_00393,Held_2022_Trichodesmium_IMS101,Held et al. 2022,Trichodesmium erythraeum IMS101,1,Tery_2939,WP_011612461.1,Tery_2939 rpoB DNA-directed RNA polymerase subunit beta (EC 2.7.7.6) [Trichodesmium erythraeum IMS101: NC_008312],mean_relative_abundance=70.34; max=91.99@12h; min=57.28@11h; dynamic_range=34.71,old_locus_tag,Model-Supported,DNA-directed RNA polymerase subunit beta,Housekeeping / lineage marker,Housekeeping marker (not a transplant candidate),106.0,0.4497607655502392,0.4163568773234201,269,269,False
GF_00393,Panda_2025_Crocosphaera_ATCC51142,Panda et al. 2025,Crocosphaera subtropica ATCC 51142,1,cce_3488,WP_009545344.1,DNA-directed RNA polymerase subunit beta,Two-way ANOVA p value nitrate=9.55340566714129e-06; Two-way ANOVA p value lightordark=0.00580541158295001; Two-way ANOVA p value Interaction=0.447777433813605; D-_avgLFQ=29.2564058303833; D+_avgLFQ=28.8339414596558; L-_avgLFQ=29.0900735855103; L+_avgLFQ=28.5657367706299; D-_D+(logFC)=0.4224643707275; L-_L+(logFC)=0.5243368148803995,old_locus_tag,Model-Supported,DNA-directed RNA polymerase subunit beta,Housekeeping / lineage marker,Housekeeping marker (not a transplant candidate),106.0,0.4497607655502392,0.4163568773234201,269,269,False
GF_00393,Sandh_2014_Nostoc_punctiforme,Sandh et al. 2014,Nostoc punctiforme PCC 73102,2,Npun_F4985,WP_012411284.1,rpoB; DNA-directed RNA polymerase; beta,Log2 Ratio (Heterocyst/Filaments)=0.14177370846135962; Variability [%]=13.3440462530108; Peptide Pair Count=4;4 | 24h Log2 Ratio (Het/Fil) (Present study)=0.14177370846135962; Variability [%]=13.3440462530108; Peptide Pair Count=4;4; Steady state Log2 ratio [7]=0.5029508647223649,old_locus_tag,Model-Supported,DNA-directed RNA polymerase subunit beta,Housekeeping / lineage marker,Housekeeping marker (not a transplant candidate),106.0,0.4497607655502392,0.4163568773234201,269,269,False
GF_00393,Welkie_2014_Cyanothece_PCC7822,Welkie et al. 2014,Gloeothece verrucosa PCC 7822,1,Cyan7822_5324,WP_013325242.1,ref|YP_003890479.1| DNA-directed RNA polymerase subunit beta [Cyanothece sp. PCC 7822],CT_D0=1.21762002253267; CT_D3=1.122948952; CT_L0=1.19535188660526; CT_L3=1.58367466641561,old_locus_tag,Model-Supported,DNA-directed RNA polymerase subunit beta,Housekeeping / lineage marker,Housekeeping marker (not a transplant candidate),106.0,0.4497607655502392,0.4163568773234201,269,269,False
GF_00395,Welkie_2014_Cyanothece_PCC7822,Welkie et al. 2014,Gloeothece verrucosa PCC 7822,1,Cyan7822_2992,WP_013323042.1,ref|YP_003888224.1| Glutamate synthase (ferredoxin) [Cyanothece sp. PCC 7822],CT_D0=1.45317538553267; CT_D3=1.685012725; CT_L0=1.04783447560526; CT_L3=0.933572942415608,old_locus_tag,Model-Supported,glutamate synthase large subunit,Other / unassigned,Novel/uncertain candidate,244.0,0.4820574162679426,0.2947368421052631,95,95,False
GF_00396,Panda_2025_Crocosphaera_ATCC51142,Panda et al. 2025,Crocosphaera subtropica ATCC 51142,1,cce_0605,WP_009546683.1,Protein involved in constitutive low affinity CO2 uptake,Two-way ANOVA p value nitrate=0.0116876826369616; Two-way ANOVA p value lightordark=0.00394339276966082; Two-way ANOVA p value Interaction=0.16105142330348; D-_avgLFQ=26.5306162834167; D+_avgLFQ=27.0920562744141; L-_avgLFQ=27.1658358573914; L+_avgLFQ=27.3515601158142; D-_D+(logFC)=-0.5614399909974033; L-_L+(logFC)=-0.18572425842279827,old_locus_tag,Model-Supported,CO2 hydration protein,Other / unassigned,Novel/uncertain candidate,96.0,0.7496012759170654,0.4792899408284023,169,169,False
GF_00396,Sandh_2014_Nostoc_punctiforme,Sandh et al. 2014,Nostoc punctiforme PCC 73102,1,Npun_F3690,WP_012410051.1,chpXY; CO2 hydration,Log2 Ratio (Heterocyst/Filaments)=-0.8162055957603375; Variability [%]=4.12341370738329; Peptide Pair Count=9;10,old_locus_tag,Model-Supported,CO2 hydration protein,Other / unassigned,Novel/uncertain candidate,96.0,0.7496012759170654,0.4792899408284023,169,169,False
GF_00396,Welkie_2014_Cyanothece_PCC7822,Welkie et al. 2014,Gloeothece verrucosa PCC 7822,1,Cyan7822_1420,WP_013321525.1,ref|YP_003886693.1| CO2 hydration protein [Cyanothece sp. PCC 7822],CT_D0=1.20968954853267; CT_D3=1.394365069; CT_L0=1.25588266860526; CT_L3=1.25965824041561,old_locus_tag,Model-Supported,CO2 hydration protein,Other / unassigned,Novel/uncertain candidate,96.0,0.7496012759170654,0.4792899408284023,169,169,False
GF_00403,Panda_2025_Crocosphaera_ATCC51142,Panda et al. 2025,Crocosphaera subtropica ATCC 51142,1,cce_1365,WP_009544182.1,bPH 2 domain-containing protein,Two-way ANOVA p value nitrate=0.117326601311765; Two-way ANOVA p value lightordark=0.00497658958138545; Two-way ANOVA p value Interaction=0.575642969977369; D-_avgLFQ=24.7714195251465; D+_avgLFQ=25.0358648300171; L-_avgLFQ=25.2396326065063; L+_avgLFQ=25.3695850372314; D-_D+(logFC)=-0.2644453048706019; L-_L+(logFC)=-0.12995243072509766,old_locus_tag,,,,,,,,,,
GF_00404,Held_2022_Trichodesmium_IMS101,Held et al. 2022,Trichodesmium erythraeum IMS101,1,Tery_1457,WP_011611124.1,Tery_1457 thrS Ser-tRNA(Thr) hydrolase (EC 3.1.1.-)/threonyl-tRNA synthetase (EC 6.1.1.3) [Trichodesmium erythraeum IMS101: NC_008312],mean_relative_abundance=13.88; max=18.77@13h; min=10.06@14h; dynamic_range=8.706,old_locus_tag,Model-Supported,threonine--tRNA ligase,Housekeeping / lineage marker,Housekeeping marker (not a transplant candidate),223.0,0.4433811802232855,0.4603960396039604,202,202,False
GF_00404,Welkie_2014_Cyanothece_PCC7822,Welkie et al. 2014,Gloeothece verrucosa PCC 7822,1,Cyan7822_0073,WP_013320235.1,ref|YP_003885400.1| threonyl-tRNA synthetase [Cyanothece sp. PCC 7822],CT_D0=1.27978736053267; CT_D3=1.369759759; CT_L0=1.23443789060526; CT_L3=1.23561051741561,old_locus_tag,Model-Supported,threonine--tRNA ligase,Housekeeping / lineage marker,Housekeeping marker (not a transplant candidate),223.0,0.4433811802232855,0.4603960396039604,202,202,False
GF_00405,Welkie_2014_Cyanothece_PCC7822,Welkie et al. 2014,Gloeothece verrucosa PCC 7822,1,Cyan7822_2157,WP_013322242.1,ref|YP_003887412.1| acetylglutamate kinase [Cyanothece sp. PCC 7822],CT_D0=1.50999978753267; CT_D3=1.455024049; CT_L0=1.10650646460526; CT_L3=1.04806522641561,old_locus_tag,Model-Supported,acetylglutamate kinase,Other / unassigned,Novel/uncertain candidate,88.0,0.5462519936204147,0.5287356321839081,174,174,False
GF_00408,Sandh_2014_Nostoc_punctiforme,Sandh et al. 2014,Nostoc punctiforme PCC 73102,2,Npun_F1484,WP_012408197.1,"Deoxyhypusine synthase Eukaryotic (Spermi +[eIF-5A]-lys = 1,3-diaminoprop+[eIF-5A]-deoxyhypu), P and T",Log2 Ratio (Heterocyst/Filaments)=-2.4787964834667204; Variability [%]=10.3631338698521; Peptide Pair Count=3;2 | 24h Log2 Ratio (Het/Fil) (Present study)=-2.4787964834667204; Variability [%]=10.3631338698521; Peptide Pair Count=3;2; Steady state Log2 ratio [7]=-1.3756736714449025,old_locus_tag,Model-Supported,deoxyhypusine synthase,Other / unassigned,Novel/uncertain candidate,115.0,0.293859649122807,0.8717948717948718,78,78,False
GF_00409,Held_2022_Trichodesmium_IMS101,Held et al. 2022,Trichodesmium erythraeum IMS101,1,Tery_0682,WP_011610512.1,"Tery_0682 fbp D-fructose 1,6-bisphosphatase (EC 3.1.3.11) [Trichodesmium erythraeum IMS101: NC_008312]",mean_relative_abundance=43.29; max=65.01@20h; min=32.28@11h; dynamic_range=32.72,old_locus_tag,Model-Supported,class 1 fructose-bisphosphatase,Other / unassigned,Novel/uncertain candidate,66.0,0.549043062200957,0.6290322580645161,124,124,False
GF_00409,Sandh_2014_Nostoc_punctiforme,Sandh et al. 2014,Nostoc punctiforme PCC 73102,2,Npun_F4023,WP_012410369.1,"fbp Fructose-1 6-bisphosphatase in opc, P",Log2 Ratio (Heterocyst/Filaments)=1.408641889630472; Variability [%]=6.04401901564352; Peptide Pair Count=5;5 | 24h Log2 Ratio (Het/Fil) (Present study)=1.408641889630472; Variability [%]=6.04401901564352; Peptide Pair Count=5;5; Steady state Log2 ratio [7]=1.175340304626281,old_locus_tag,Model-Supported,class 1 fructose-bisphosphatase,Other / unassigned,Novel/uncertain candidate,66.0,0.549043062200957,0.6290322580645161,124,124,False
GF_00411,Sandh_2014_Nostoc_punctiforme,Sandh et al. 2014,Nostoc punctiforme PCC 73102,1,Npun_R2767,WP_012409296.1,sdhA; Fumarate reductase/succinate dehyd,Log2 Ratio (Heterocyst/Filaments)=-0.5337000325983376; Variability [%]=1.30592765466988; Peptide Pair Count=3;4,old_locus_tag,Highly Pure,succinate dehydrogenase/fumarate reductase flavoprotein subunit,Respiration & bioenergetics,FOX-consistent support function (plausible rediscovery),,,0.9178082191780822,73,73,False
GF_00413,Held_2022_Trichodesmium_IMS101,Held et al. 2022,Trichodesmium erythraeum IMS101,1,Tery_4594,WP_011613887.1,Tery_4594 ftsH membrane protease FtsH catalytic subunit (EC 3.4.24.-) [Trichodesmium erythraeum IMS101: NC_008312],mean_relative_abundance=86.79; max=108.1@9h; min=72.65@23h; dynamic_range=35.43,old_locus_tag,Model-Supported,ATP-dependent zinc metalloprotease FtsH2,Housekeeping / lineage marker,Housekeeping marker (not a transplant candidate),408.0,0.233652312599681,0.4407582938388625,211,211,False
GF_00413,Sandh_2014_Nostoc_punctiforme,Sandh et al. 2014,Nostoc punctiforme PCC 73102,1,Npun_R1355,WP_012408087.1,FtsH; Peptidase M41; FtsH,Log2 Ratio (Heterocyst/Filaments)=0.48606720560081046; Variability [%]=15.2977652319482; Peptide Pair Count=10;9,old_locus_tag,Model-Supported,ATP-dependent zinc metalloprotease FtsH2,Housekeeping / lineage marker,Housekeeping marker (not a transplant candidate),408.0,0.233652312599681,0.4407582938388625,211,211,False
GF_00415,Held_2022_Trichodesmium_IMS101,Held et al. 2022,Trichodesmium erythraeum IMS101,1,Tery_0490,WP_011610341.1,"Tery_0490 gmd GDP-mannose 4,6-dehydratase [Trichodesmium erythraeum IMS101: NC_008312]",mean_relative_abundance=30.75; max=40.54@22h; min=19.66@13h; dynamic_range=20.88,old_locus_tag,Model-Supported,GDP-mannose 4%2C6-dehydratase,Other / unassigned,Novel/uncertain candidate,188.0,0.4988038277511961,0.5274725274725275,182,182,False
GF_00415,Panda_2025_Crocosphaera_ATCC51142,Panda et al. 2025,Crocosphaera subtropica ATCC 51142,1,cce_3233,WP_009547627.1,"GDP-mannose 4,6-dehydratase",Two-way ANOVA p value nitrate=0.31524109444525; Two-way ANOVA p value lightordark=0.0802767604950212; Two-way ANOVA p value Interaction=0.118215475403335; D-_avgLFQ=26.8495287895203; D+_avgLFQ=26.9256782531738; L-_avgLFQ=27.2805895805359; L+_avgLFQ=26.952965259552; D-_D+(logFC)=-0.0761494636535005; L-_L+(logFC)=0.32762432098390093,old_locus_tag,Model-Supported,GDP-mannose 4%2C6-dehydratase,Other / unassigned,Novel/uncertain candidate,188.0,0.4988038277511961,0.5274725274725275,182,182,False
GF_00415,Sandh_2014_Nostoc_punctiforme,Sandh et al. 2014,Nostoc punctiforme PCC 73102,2,Npun_F3485,WP_012409866.1,gmd; GDP-mannose 4;6-dehydratase,Log2 Ratio (Heterocyst/Filaments)=-1.1325762805450579; Variability [%]=0.272604650270049; Peptide Pair Count=1;2 | 24h Log2 Ratio (Het/Fil) (Present study)=-1.1325762805450579; Variability [%]=0.272604650270049; Peptide Pair Count=1;2; Steady state Log2 ratio [7]=-1.89421319161038,old_locus_tag,Model-Supported,GDP-mannose 4%2C6-dehydratase,Other / unassigned,Novel/uncertain candidate,188.0,0.4988038277511961,0.5274725274725275,182,182,False
GF_00415,Welkie_2014_Cyanothece_PCC7822,Welkie et al. 2014,Gloeothece verrucosa PCC 7822,1,Cyan7822_4311,WP_013324291.1,"ref|YP_003889503.1| GDP-mannose 4,6-dehydratase [Cyanothece sp. PCC 7822]",CT_D0=1.18225823853267; CT_D3=1.190802369; CT_L0=1.41887846360526; CT_L3=1.32765645741561,old_locus_tag,Model-Supported,GDP-mannose 4%2C6-dehydratase,Other / unassigned,Novel/uncertain candidate,188.0,0.4988038277511961,0.5274725274725275,182,182,False
GF_00417,Held_2022_Trichodesmium_IMS101,Held et al. 2022,Trichodesmium erythraeum IMS101,1,Tery_0335,WP_011610205.1,Tery_0335 Heme oxygenase (decyclizing) [Trichodesmium erythraeum IMS101: NC_008312],mean_relative_abundance=21.02; max=34.22@6h; min=5.531@1h; dynamic_range=28.69,old_locus_tag,Model-Supported,heme oxygenase (biliverdin-producing),Other / unassigned,Novel/uncertain candidate,475.0,0.1527113237639553,0.8085106382978723,47,47,False
GF_00417,Panda_2025_Crocosphaera_ATCC51142,Panda et al. 2025,Crocosphaera subtropica ATCC 51142,1,cce_2573,WP_009544737.1,Heme oxygenase (Decyclizing),Two-way ANOVA p value nitrate=0.0022922765772009; Two-way ANOVA p value lightordark=1.8038450730763e-07; Two-way ANOVA p value Interaction=4.18499211679076e-05; D-_avgLFQ=21.9148931503296; D+_avgLFQ=24.59055519104; L-_avgLFQ=26.3884696960449; L+_avgLFQ=25.7518582344055; D-_D+(logFC)=-2.6756620407103995; L-_L+(logFC)=0.6366114616394007,old_locus_tag,Model-Supported,heme oxygenase (biliverdin-producing),Other / unassigned,Novel/uncertain candidate,475.0,0.1527113237639553,0.8085106382978723,47,47,False
GF_00420,Sandh_2014_Nostoc_punctiforme,Sandh et al. 2014,Nostoc punctiforme PCC 73102,2,Npun_R1575,WP_012408279.1,BchM-ChlM; Magnesium protoporphyrin O-me,Log2 Ratio (Heterocyst/Filaments)=0.3829612285923651; Variability [%]=22.9660570795087; Peptide Pair Count=3;2 | 24h Log2 Ratio (Het/Fil) (Present study)=0.3829612285923651; Variability [%]=22.9660570795087; Peptide Pair Count=3;2; Steady state Log2 ratio [7]=1.313162738517981,old_locus_tag,Highly Pure,magnesium protoporphyrin IX methyltransferase,Other / unassigned,Novel/uncertain candidate,,,0.935483870967742,62,62,False
GF_00424,Welkie_2014_Cyanothece_PCC7822,Welkie et al. 2014,Gloeothece verrucosa PCC 7822,1,Cyan7822_5464,WP_013325377.1,ref|YP_003890614.1| methionine aminopeptidase [Cyanothece sp. PCC 7822],CT_D0=1.24816357453267; CT_D3=0.908219352; CT_L0=1.32463356260526; CT_L3=1.63857903841561,old_locus_tag,Model-Supported,type I methionyl aminopeptidase,Housekeeping / lineage marker,Housekeeping marker (not a transplant candidate),52.0,0.5705741626794258,0.4324324324324324,111,111,False
GF_00426,Panda_2025_Crocosphaera_ATCC51142,Panda et al. 2025,Crocosphaera subtropica ATCC 51142,1,cce_0302,WP_243397412.1,Bicarbontate transport system ATP-binding protein,Two-way ANOVA p value nitrate=6.8555336533289e-08; Two-way ANOVA p value lightordark=0.000298080172790765; Two-way ANOVA p value Interaction=0.00811785299750717; D-_avgLFQ=21.631664276123; D+_avgLFQ=26.6350426673889; L-_avgLFQ=24.4008135795593; L+_avgLFQ=27.2624349594116; D-_D+(logFC)=-5.003378391265898; L-_L+(logFC)=-2.8616213798522985,old_locus_tag,Model-Supported,nitrate ABC transporter ATP-binding protein,Transport,Novel/uncertain candidate,9.0,0.7137161084529505,0.4697986577181208,149,149,False
GF_00426,Welkie_2014_Cyanothece_PCC7822,Welkie et al. 2014,Gloeothece verrucosa PCC 7822,1,Cyan7822_1750,WP_013321844.1,ref|YP_003887012.1| nitrate ABC transporter ATPase subunits C and D [Cyanothece sp. PCC 7822],CT_D0=1.06459278453267; CT_D3=1.271512359; CT_L0=1.20032917960526; CT_L3=1.58316120541561,old_locus_tag,Model-Supported,nitrate ABC transporter ATP-binding protein,Transport,Novel/uncertain candidate,9.0,0.7137161084529505,0.4697986577181208,149,149,False
GF_00427,Held_2022_Trichodesmium_IMS101,Held et al. 2022,Trichodesmium erythraeum IMS101,1,Tery_3954,WP_011613311.1,Tery_3954 zeta-carotene desaturase (EC 1.3.99.26) [Trichodesmium erythraeum IMS101: NC_008312],mean_relative_abundance=7.429; max=11.31@4h; min=3.353@14h; dynamic_range=7.957,old_locus_tag,Model-Supported,9%2C9'-di-cis-zeta-carotene desaturase,Other / unassigned,Novel/uncertain candidate,214.0,0.3006379585326953,0.2727272727272727,77,77,False
